Billboard Artist,map_artist,Feature Artist
Funkmaster Flex & Big Kap,Funkmaster Flex,Big Kap
Funkmaster Flex & The Ghetto Celebs,Funkmaster Flex,The Ghetto Celebs
Future,Future,
Future & Young Thug,Future,Young Thug
G Unit,G Unit,
G-Eazy,G-Eazy,
G-Eazy & Halsey,G-Eazy,Halsey
G-Eazy & Kehlani,G-Eazy,Kehlani
G-Eazy x Bebe Rexha,G-Eazy,Bebe Rexha
G-Unit,G-Unit,
G. Dep,G. Dep,
Game,Game,
Gang Starr,Gang Starr,
Gangsta Boo,Gangsta Boo,
General Grant,General Grant,
Genius/GZA,GZA,
George Clinton,George Clinton,
Gerardo,Gerardo,
Geto Boys,Geto Boys,
Ghetto Girlz,Ghetto Girlz,
Ghostface Killah,Ghostface Killah,
Glasses Malone,Glasses Malone,
gnash,gnash,
Gold,Gold,
GoldLink,GoldLink,
Goodie Mob,Goodie Mob,
Gorilla Zoe,Gorilla Zoe,
Grand Puba,Grand Puba,
Grandaddy I.U.,Grandaddy I.U.,
Grandmaster Slice,Grandmaster Slice,
Grandmaster Slice & Izzy Chill,Grandmaster Slice,Izzy Chill
Green Eyez,Green Eyez,
Greyson & Jason,Greyson & Jason,
Group Home,Group Home,
GS Boyz,GS Boyz,
Gucci Crew II,Gucci Crew II,
Gucci Mane,Gucci Mane,
Gucci Mane & Drake,Gucci Mane,Drake
Gucci Mane & Nicki Minaj,Gucci Mane,Nicki Minaj
Guerilla Black,Guerilla Black,
GZA/Genius,GZA,
GZA,GZA,
H.E.A.L.,H.E.A.L.,
H.M.H.,H.M.H.,
Half-A-Mill,Half-A-Mill,
Hansoul,Hansoul,
Havana,Havana,
Heat,Heat,
Heather B.,Heather B.,
Heavy D & The Boyz,Heavy D & The Boyz,
Heltah Skeltah,Heltah Skeltah,
Heltah Skeltah And O.G.C. As The Fab 5,Heltah Skeltah And O.G.C. As The Fab 5,
Hen G & Evil E,Hen G & Evil E,
Hen-Gee & Evil-E,Hen-G & Evil-E,
Hev-D,Hev-D,
Hi-C,Hi-C,
Hi-Tek,Hi-Tek,
Hi-Town DJs,Hi-Town DJs,
High Performance,High Performance,
Hip Hop For Respect,Hip Hop For Respect,
Hitman Sammy Sam,Hitman Sammy Sam,
Ho Frat Ho!,Ho Frat Ho!,
Home Team,Home Team,
Hoodie Allen,Hoodie Allen,
Hoodratz,Hoodratz,
Hot Ones,Hot Ones,
Hot Stylz,Hot Stylz,
House Of Pain,House Of Pain,
Houston,Houston,
Huey,Huey,
Hurricane Chris,Hurricane Chris,
Hurricane G,Hurricane G,
Hustle Gang,Hustle Gang,
I-Wayne,I-Wayne,
Ice Cream Tee,Ice Cream Tee,
Ice Cube,Ice Cube,
Ice-T,Ice-T,
Icey Jaye,Icey Jaye,
Iconz,Iconz,
Iggy Azalea,Iggy Azalea,
Ike Jackson Presents Tom Paper,Ike Jackson Presents Tom Paper,
Ill Al Skratch,Ill Al Skratch,
Illegal,Illegal,
iLoveMemphis,iLoveMemphis,
Indo G,Indo G,
Infamous Syndicate,Infamous Syndicate,
Intelligent Hoodlum,Intelligent Hoodlum,
Intoxicated,Intoxicated,
Irv Gotti Presents The Inc.,The Inc.,
J Balvin,J Balvin,
J-Kwon,J-Kwon,
J. Cole,J. Cole,
J. Dash,J. Dash,
J.A.G.,J.A.G.,
Ja Rule,Ja Rule,
Jack & Jack,Jack & Jack,
Jadakiss,Jadakiss,
Jahari,Jahari,
Jailbird,Jailbird,
Jamal,Jamal,
Jay Z,Jay Z,
Jay Z Kanye West,Jay Z,Kanye West
Jay-Z,Jay-Z,
JAY-Z,Jay-Z,
Jay-Z & T.I.,Jay-Z,T.I.
Jay-Z + Alicia Keys,Jay-Z,Alicia Keys
Jay-Z + Mr. Hudson,Jay-Z,Mr. Hudson
Jay-Z + Swizz Beatz,Jay-Z,Swizz Beatz
"Jay-Z, Beanie Sigel And Memphis Bleek",Jay-Z,"Beanie Sigel,Memphis Bleek"
"Jay-Z, Rihanna & Kanye West",Jay-Z,"Rihanna,Kanye West"
Jaz-O & The Immobilarie,Jaz-O & The Immobilarie,
Jazzy Jeff & The Fresh Prince,DJ Jazzy Jeff & The Fresh Prince,
JD,JD,
Jeezy,Jeezy,
Jermaine Dupri,Jermaine Dupri,
Jermaine Dupri & NAS,Jermaine Dupri,Nas
Jeru The Damaja,Jeru The Damaja,
Jibbs,Jibbs,
Jibri Wise One,Jibri Wise One,
Jim Jones,Jim Jones,
Jim Jones & Ron Browz,Jim Jones,Ron Browz
Jimmy Fallon,Jimmy Fallon,
Joe Budden,Joe Budden,
Joey Chavez Presents The Original Structure,Joey Chavez Presents The Original Structure,
John Forte,John Forte,
John Got'ti,John Got'ti,
Jonell & Method Man,Jonell,Method Man
Jovishes,Jovishes,
"Joyce ""Fenderella"" Irby","Joyce ""Fenderella"" Irby",
JT Money,JT Money,
Juelz Santana,Juelz Santana,
Juicy J,Juicy J,
"Juicy J, Wiz Khalifa & Ty Dolla $ign",Juicy J,"Wiz Khalifa,Ty Dolla $ign"
Jungle Brothers,Jungle Brothers,
Junior M.A.F.I.A.,Junior M.A.F.I.A.,
Jurassic 5,Jurassic 5,
Justin Warfield,Justin Warfield,
Juvenile,Juvenile,
"Juvenile, Wacko & Skip",Juvenile,"Wacko,Skip"
K Camp,K Camp,
K-9 Posse,K-9 Posse,
K-Solo,K-Solo,
K.M.D.,K.M.D.,
K.P. & Envyi,K.P. & Envyi,
K7,K7,
Kalin And Myles,Kalin And Myles,
Kam,Kam,
Kane & Abel,Kane & Abel,
Kanye West,Kanye West,
Kanye West Jay Z,Kanye West,Jay-Z
"Kanye West, Big Sean, Pusha T, 2 Chainz",Kanye West,"Big Sean,Pusha T,2 Chainz"
"Kanye West, Jay-Z, Big Sean",Kanye West,"Jay-Z,Big Sean"
"Kanye West, R. Kelly",Kanye West,R. Kelly
Kardinal Offishall,Kardinal Offishall,
KCamp,KCamp,
Keith Murray,Keith Murray,
Keith Sweat,Keith Sweat,
Kendrick Lamar,Kendrick Lamar,
Kenny B Devine,Kenny B Devine,
Kenny Dope,Kenny Dope,
Kent Jones,Kent Jones,
Kevin Gates,Kevin Gates,
Khia,Khia,
Kia Shine,Kia Shine,
Kid 'N Play,Kid 'N Play,
Kid Capri,Kid Capri,
Kid Cudi,Kid Cudi,
Kid Frost,Kid Frost,
Kid Ink,Kid Ink,
"Kid Ink, Tyga, Wale, YG & Rich Homie Quan",Kid Ink,"Tyga,Wale,YG,Rich Homie Quan"
Kid Sensation,Kid Sensation,
Killarmy,Killarmy,
Killer Mike,Killer Mike,
Kilo,Kilo,
Kinfusion,Kinfusion,
King Tee,King Tee,
Kingpin Skinny Pimp,Kingpin Skinny Pimp,
Kings Of Swing,Kings Of Swing,
Kinsu,Kinsu,
Kirko Bangz,Kirko Bangz,
"Knoc-Turn'Al With Dr. Dre & Missy ""Misdemeanor"" Elliott",Knoc-Turn'Al,"Dr. Dre,Missy Elliott"
Knucklehedz,Knucklehedz,
Kodak Black,Kodak Black,
Kodiak,Kodiak,
Kool G Rap,Kool G Rap,
Kool G Rap & D.J. Polo,Kool G Rap,D.J. Polo
Kool Keith,Kool Keith,
Kool Moe Dee,Kool Moe Dee,
Kreayshawn,Kreayshawn,
Kris Kross,Kris Kross,
KRS-One,KRS-One,
"KRS-One F/Buckshot, Cam'ron, Keith Murray, Killah Priest, Prodigy, Redman, Run & Viligante",KRS-One,"Buckshot,Cam'ron,Keith Murray,Killah Priest,Prodigy,Redman,Run & Viligante"
Kwame,Kwame,
Kwame & A New Beginning,Kwame,A New Beginning
KYLE,KYLE,
Kyper,Kyper,
L.A.D.,L.A.D.,
L.B.C. Crew,L.B.C. Crew,
Lady Saw & Marsha,Lady Saw,Marsha
Large Professor And Neek The Exotic,Large Professor,Neek The Exotic
Larry Larr,Larry Larr,
Latin Alliance,Latin Alliance,
Lauryn Hill,Lauryn Hill,
Leaders Of The New School,Leaders Of The New School,
Lecrae,Lecrae,
Legend,Legend,
Levert Agee,Levert Agee,
Lighter Shade Of Brown,Lighter Shade Of Brown,
Lil Boosie,Lil Boosie,
Lil Bow Wow,Lil Bow Wow,
Lil Bud & Tizone,Lil Bud,Tizone
Lil Dicky,Lil Dicky,
Lil Durk & DeJ Loaf,Lil Durk,DeJ Loaf
Lil Jon,Lil Jon,
Lil Jon & The East Side Boyz,Lil Jon,The East Side Boyz
Lil Kim,Lil Kim,
Lil Mama,Lil Mama,
Lil Pump,Lil Pump,
Lil Rob,Lil Rob,
Lil Scrappy,Lil Scrappy,
Lil Uzi Vert,Lil Uzi Vert,
Lil Wayne,Lil Wayne,
Lil Wayne & Charlie Puth,Lil Wayne,Charlie Puth
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign",Lil Wayne,"Wiz Khalifa,Imagine Dragons,Logic,Ty Dolla $ign"
Lil Wil,Lil Wil,
Lil Xan,Lil Xan,
Lil Yachty,Lil Yachty,
Lil' Boosie,Lil' Boosie,
Lil' Boosie & Webbie,Lil' Boosie,Webbie
Lil' Cease,Lil' Cease,
Lil' Flip,Lil' Flip,
Lil' Kim,Lil' Kim,
Lil' O,Lil' O,
Lil' Rachett,Lil' Rachett,
Lil' Romeo,Lil' Romeo,
Lil' Ru,Lil' Ru,
Lil' Shawn,Lil' Shawn,
Lil' Zane,Lil' Zane,
Limp Bizkit,Limp Bizkit,
Lin Que,Lin Que,
LL Cool J,LL Cool J,
